,Property_id,Property_name,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
235,950053,PAN AM PENTHOUSE WITH SKYLINE VIEWS,5153529,Adrian,Regent Park,Entire home/apt,160,365,10,2/03/2016,0.12,2,365
236,954475,1 BR-Close to Yonge & Eglinton 101,1854872,Raja,Flemingdon Park,Private room,45,2,28,14/09/2019,0.31,4,345
237,954935,Furnished 1 Bedroom Appartment,5186386,Kc,South Riverdale,Entire home/apt,80,30,24,1/07/2020,0.27,1,314
238,955073,YONGE - DUNDAS Fully Furnished,4477219,Vas,Church-Yonge Corridor,Entire home/apt,60,28,11,30/06/2020,0.32,4,0
239,956250,Lovely fully detached private house,5066966,Amanda,Dufferin Grove,Entire home/apt,380,3,4,16/03/2018,0.05,1,252
240,958586,Furnished 1+GuestRoom unit in Downtown,1919294,Toronto Suite Rentals,Waterfront Communities-The Island,Entire home/apt,189,5,8,31/03/2017,0.1,64,89
241,959676,Artists 1br Church/Alexander St,5214021,Mike,Church-Yonge Corridor,Entire home/apt,1452,4,29,28/09/2015,0.33,2,365
242,960627,Triple-bed Private Room FREE PARKING @King/Spadina,2929374,Bert,Waterfront Communities-The Island,Private room,65,1,39,30/10/2019,0.43,2,0
243,961974,Chic! in the Entertainment District,1805882,Elisabeth,Waterfront Communities-The Island,Entire home/apt,295,30,7,6/01/2019,0.1,4,249
244,977495,Toronto East End Apart. in Greek Town - Cosy Nest,5348675,Elizabeth,Playter Estates-Danforth,Entire home/apt,84,14,8,4/08/2018,0.09,1,314
245,985003,Prime Leslieville 1 Bdrm in house,2396097,Jeff (Jean-Francois),South Riverdale,Entire home/apt,85,7,74,28/08/2020,0.84,1,342
246,985498,1+ Den - Entertainment District,5407081,Wayne,Waterfront Communities-The Island,Entire home/apt,80,30,238,4/08/2020,2.63,1,20
247,985648,Private bedroom in Brockton Village.,5242437,Kristin,Dufferin Grove,Private room,100,1,1,5/09/2013,0.01,1,364
248,986506,Sunny Danforth Apartment,5413926,Lesley,North Riverdale,Entire home/apt,96,3,13,18/08/2019,0.23,1,61
249,987647,BRIGHT STYLISH 1 BDRM BALCONY EXCELLENT LOCATION!,3258547,Dannah,Rosedale-Moore Park,Entire home/apt,135,3,15,19/07/2017,0.17,1,0
250,990322,"Fantastic private gem, just like a home.",377962,Coreen,Humewood-Cedarvale,Entire home/apt,95,30,24,2/02/2020,0.32,2,343
251,996139,Luxury Waterfront Studio Condo (Long-Term Rental),5472668,Lily,Mimico (includes Humber Bay Shores),Entire home/apt,226,25,15,26/03/2018,0.17,1,90
252,1001438,Private bedroom Queen W/Toronto Western Hospital,3131000,Janet,Trinity-Bellwoods,Private room,60,2,145,30/08/2020,1.64,1,96
253,1003798,Bright & Spacious Private Room,5520616,Carolina & Martha,Banbury-Don Mills,Private room,50,7,8,7/09/2019,0.25,1,249
254,1009656,Bloorcourt Village Apt. longer-term accommodations,5554523,Holly & Chad,Dovercourt-Wallace Emerson-Junction,Entire home/apt,125,28,171,13/04/2019,1.91,1,337
255,1012527,Scandinavian Cottage in the City,5518435,Darya,Niagara,Entire home/apt,528,3,6,9/11/2019,0.13,1,0
256,1015594,Bachelor Apartment in the Annex,4202607,Wali,Annex,Entire home/apt,70,2,25,20/05/2019,0.28,1,0
258,1022764,Beautiful Davisville Toronto Home,5630548,Daniel,Mount Pleasant East,Entire home/apt,429,7,17,26/07/2019,0.2,1,363
259,1030061,Modern 1 Bedroom Condo in Entertainment District,1984757,Michelle,Waterfront Communities-The Island,Entire home/apt,110,30,21,16/08/2020,0.42,1,313
260,1033151,The Great Gerrard - Paris Suite,377846,Nick & Nena,East End-Danforth,Entire home/apt,59,3,38,7/08/2020,0.43,10,250
261,1033162,DOWNTOWN TORONTO LUXURY PENTHOUSE CORPORATE SUITE,2175675,Frank,Waterfront Communities-The Island,Entire home/apt,155,28,6,27/07/2018,0.08,3,364
262,1036076,"Luxury Apt, Garden,small Dog welcome, Ev Charger",4468895,Melanie,Willowdale East,Entire home/apt,98,28,24,31/08/2020,0.33,1,270
263,1037034,Hip 3bdrm house with yard+garage,5709010,Jode,Dovercourt-Wallace Emerson-Junction,Entire home/apt,125,3,58,9/01/2020,0.66,1,0
264,1038085,Private room & BR in centralToronto,5713708,Yvette,Humewood-Cedarvale,Private room,70,1,165,13/03/2020,2.0,1,16
265,1042311,1 Bedroom in Leslieville Toronto!,5736902,Christine,South Riverdale,Entire home/apt,60,90,27,31/03/2020,0.33,1,76
266,1053365,"Bsmt, Toronto Don Mills subway Fairview Mall A+ R",65479,Irene,Pleasant View,Private room,30,1,2,13/05/2014,0.02,10,361
267,1053817,Divine Downtown Centre with a VIEW,113345,Adela,Waterfront Communities-The Island,Entire home/apt,333,75,79,10/09/2019,0.89,5,0
268,1053838,A Beautiful Private Guest Room Downtown Toronto,2741400,Rk,Palmerston-Little Italy,Private room,72,1,152,22/12/2019,1.72,5,365
269,1057144,Beautiful Toronto Home opp Park,265033,Vivienne And Michael,Dufferin Grove,Entire home/apt,225,5,6,28/10/2016,0.08,1,345
270,1058442,2 Bedroom Penthouse Downtown,1805882,Elisabeth,Church-Yonge Corridor,Entire home/apt,300,7,2,31/07/2018,0.03,4,251
273,1066060,Entire home in Toronto,1618054,Nick,Woodbine Corridor,Entire home/apt,215,14,2,5/08/2020,0.16,1,310
274,1066205,Downtown East One Bdrm and Spacious Bath,4010527,Diane,Moss Park,Entire home/apt,203,1,23,31/08/2020,0.47,4,343
275,1066718,PRIVATE:Entrance/Garden/A1 Location/Parking/Quiet,5867364,Emil,Niagara,Entire home/apt,135,2,465,7/09/2020,5.19,1,1
277,1090758,Furnished JR Luxury 2 Bedroom Condo,1919294,Toronto Suite Rentals,Bayview Village,Entire home/apt,149,10,5,15/02/2020,0.09,64,90
279,1092407,Great Gerrard - Mona Lisa Suite,377846,Nick & Nena,East End-Danforth,Entire home/apt,58,14,31,10/02/2020,0.35,10,312
280,1094362,Charming 1 bedroom  w/ Jacuzzi,4315269,Lalo,Oakwood Village,Entire home/apt,88,30,117,31/08/2018,1.6,2,67
281,1100282,your friendly neighbourhood stay!,2367548,Sun,Dovercourt-Wallace Emerson-Junction,Entire home/apt,91,2,221,4/09/2020,2.52,1,209
282,1110760,The Great Gerrard - New York Suite,377846,Nick & Nena,East End-Danforth,Entire home/apt,58,4,25,9/04/2020,0.28,10,252
